sentence,label
 THALA 6O ku aavathu atleast pre announcement pannunga,positive
 Aptilam nadakkathu nadakka kudathu fire on eyes thala,positive
 Amam eppa puthu trailer poduvingo. .. 1960 mgr kala thu padama. .. Re release panna poran gala. ..,negative
 Oruthar mela viswasam kaatradhukaga aduthavangala edhuku asinga paduthuringa...sema thala....love from thalapathy fanzzzzz,positive
 Entha padathalaum vivazya pirachana solraga pola oh my God,neutral
 Kaithi ye evlo mass ah iruku na  Thalapathy 64?,positive
 adra sakka... thalaivaa ... marana mass.. adi thool.... Petta Pongal...... Petta Parrakk.....,neutral
 Maranam Mass Uh maranam Tough Tharanum Athukku Avan Thaaan poranthu Varanum,positive
 1:55 for some THALA & THALAPATHY fans,positive
 Please make thalapathy 64 like kaithi visuals,positive
 Nothing to say ....just goosebumps thalarasigai,positive
 Mass mass nu soli pavam fight ill lathe padathu la kuda fight varawaychitaga....,positive
 1:38 to 1:50 yenna swag pa thala. Thala pola varuma ? FDFS from Karnataka.,positive
 Enada tamil cinema eduka sonna Hollywood cinema eduthu vachirkinga,positive
" Saavaratha irunthalum sanda pottu saaganum, bayanthu kaalla vizhunthu saaga kudathu. Tharam",positive
 Sethu anna Voice  Thalaivar Entry   Kolla Gaandu la irukan Epo varum oh nu,positive
 Marana mass thalaiva   Ungalukku innu vayasu agale,positive
 Intha padam kantippa win pannum but rajinikaga illa Shankar kaga  avaroda talent kaga ...,positive
 Oru oru scenum goosebumps ahh iruku petta parak:sign_of_the_horns::sign_of_the_horns:like podunga trailer pathu goosebumps anuvanga,positive
 Vijaya vallu movies teesthunnaraa inkaa wow,neutral
 NerKondaPaarvai superb Thala pesura yella dialogues kum avar kan simtave ella vera level acting,positive
 petta movie atta flop old man sotta boy,negative
 Ena Da bomma Padam eduthu vachirukeenga,neutral
 Semma vera level . Like hits,positive
 pink movie in hindi .final dialouge superrrr.,positive
 chinna pulla thanamaala irukku graphics! XD XD,positive
 Rajini sir telugu fans hit a like here ? Rajinified,positive
" O my God superstar Rajinikanth, navajuddin siddiki, vijay setupati , what else needed",positive
 Marvel paruppu thanni+DC uppu+tamil masala + kick kadugu + krissh vengayam thakkali = hero sambar,positive
 Bayama irukku I except more but I feel sad :(,positive
 Sethupathi kaga wait panravangalam Kai thoongunga,neutral
 TAMIL MOVIE 2.O  KING IN INDIA   WONDER  SUPER STAR AN  SANKAR'S MASS MOVIE,positive
 1st day 1st show poravanga like potuttu ponga,positive
 Sprb shradha srinath done a good job,positive
 Ennoda phone ah yaaralum control panna mudiyadhu... Akshay Kumar ah tension aayiduvan idhu hang aguradha paathu...,neutral
 Rajini kanth. Fans hit like here,positive
 Kola gaadula iruka... Thalaivaaaaaaaa waiting layea veri aaguthey,negative
 Get... Ready..sk. Force.. Part 2. Part 3. Varavaipomaaaaaa...,negative
 Omg .. use head phones Enna bgm da saami ..,positive
 Petta  uthikum visvasam hit agum,neutral
 ENPT release agalanu kavala illa aurathanamana Asuran varuthu adhu pothum...,positive
 Those VFX Nalla illa daaaw guys.. Idhu trailer dhaan maa Main picture 2.0 Marana_Mass,neutral
 vera level thala  u r rock,positive
 Lokesh kanagaraj movie naalae.... English Rap....Song vandurum,negative
 What a trailer ya vera level la iruku...yow karthi subburaj pinnida ya awesome awesome,positive
 Thalada all India  Thala kottai,positive
 Indha Kalatholo Siva Karthikeyan Nadike Mudiyadhu,neutral
 Evano indha video ku dislike button amuka vandhurundha odiru :rolling_on_the_floor_laughing: kolaa kaandu la irukan kollama vida matan,negative
 Mujhe kuch samajh sirf VFX tu achh hai hai Lekin utna dam nahi jitna zero ka trailer me hai,neutral
 Title card bgm vara level nu soluravuga like pl,positive
 Rijini sir nadichirukaru Rompa nalaiku piragu.. sema treatuuuuu,positive
 Thala nkp kaga wait panravan like panunga,neutral
 Climax la judge kathiyeh heart attack shethuduvaaraah,positive
 Mokka palaya film sayal niraya irukku....,negative
 Mokka ah irukkum nu confirn pannittenga,positive
 12hours 5m view s  600k like s NKP,positive
 Thala   U1  Bgm,positive
 Surya thambi karthi poii karthi oda anna tha surya airuchuu,positive
 Now you are lying lying lying. Thala mass,positive
 Namaku thevayanathu nammatha adichi vaanganum...  masssssssss,positive
" Deepawali kala katta pothu, bigil, kaithi, sanga thamizhan",positive
 Common thala fans 1m likes varanum,positive
 Yeppo million like aagum nu pakka wait pannittu irruka .,positive
 That Bike is a Modified Duke 200,positive
 Last dialogue semma...:smiling_face_with_hearts::smiling_face_with_hearts: Thala Tucker doi...,positive
 Abhay deol,neutral
 thala veriyans. Maddum oru like poddu vidunga bro.,positive
 Starting Looks like king liar Malayalam movie,neutral
 Good morning Guys  Kaalaila Ezhunthathum Trailer Paakka Vanthavangala Like Podunga,neutral
 Enna Da views ivlo kammiya iruku romba nerama,positive
 Dai mokka vetri Mara unaku yethrathamanna kathaiyee eduka theriyatha!?,neutral
 Ethir paartha alavu ila .. sadness,positive
 Sema... Thala merattal.... Movie eppo paaka poromnu romba aarvama irukku... Thala...,positive
 Ena ipa Trending la varuthu thalaivar eh,positive
 Karthi annaaaa vera level acting,negative
" National award ah , askar ah ?/... Dhanush fanz like",positive
 Padam peru Sangathamizhan Producer yaru na BharathiREDDY :/  What an irony!,negative
 Anirudh bgmmmmmm Bang bang bang  Petttaaaa paaaraaaaaak,positive
 Inga Rajini ya pathipannunga nan Vijay sethupathika papen aniruthuka Papen apdina adichu underwearoda oda vituven....Thalaivar forever,positive
 Viswasam Jan 14 thaane? Clash aavathu ninaikkiren.,neutral
 Trailer la Vidya Balan missing.... Why?,positive
 Sangar.... Sangar ra etha movie direct pannala,neutral
" I think sivakarthickku hero getup set aagala, trailer is good,but movie average pogumnu ninaikiravanga like Pannuga",positive
 Ajith sir :star-struck:   T H A L A,positive
 Arjun sir looking very smart and handsome....,positive
 Attention THALA fans ........INDHA padam BLOCK BUSTER AAguradhukkuu neega dhaan THEATer Ku poooi THALAi Ku  PERIYA flex(katout) VAIKANUMMM,positive
 20 times ku mela pathavanga like podunga,negative
 I am big for illaya super star DHANUSH,positive
" Simran ,Rajinikanth & Vijay Sethupathi",neutral
 i phone vs android nu ninaikiren,positive
 Trailer la nallathan da irukku padam mokkaiya illama iruntha sari,positive
 Innoru  Vakkil  Rangaraj pandey dhana avaru,positive
" Ini jenmathhuku meethane, hydrocarbon pathhi nenachi kooda paaka mudiyaadhu corporates.. Ela padamum ini adhapathi daan..",neutral
 Thala seekirom theatre ku Va Thala ennala wait panna mudiyala,positive
 Marana mass... Ungaluku vayasu aanalum andha style apadiye iruku thalaivaaaaaaa,positive
 Kamala kalasa en thlaivan dance mass ah,positive
 sakthimaan sollidu thovaikira kallulanthu kila vilunthu adipattavanka like pannuga ( 5 thaiyal enaku ),negative
 Thala Da i love u thala,positive
 super super super  super star.,positive
 Mmmm 1000 times this video see,positive
 Thalaivarea kaalioda aatatha neenga kaatitinga   Ini thooku thurai oda alaparaiya naalaiku 1.30 ku Paapinga,neutral
 Nanga late ahh vandhalum latest ah varuvom,positive
 Sema anna Lv u karthi anna,neutral
 How many of you life rajini??,neutral
 Waiting for Judgement day nerkonda paarvai Trailer Marana Mass THALAAAAAAAA.....‍,positive
 Ippo Yana pana poram? Sweet sapada poram love you thalavaaaaaaaaaa,positive
 Sethupathi padam pakkum pothu irutha mass scenes niyabagam varudhu,positive
 Paaaaaaa more thaaan Hollywood range... Excited to have watch over it,neutral
 Like icon ah terika vidalama thala blood's,positive
 Yow songs epo ya viduvinga BGM verra level ....... Thala_forever,positive
 Thaka fans ah iru dha like poduga,positive
" Thala un rasiganu solla santhsama ,karvama irukku",positive
 Pandey and Thala argument  Super thala nadakakuduthu,positive
 1.5M views in 60min அம்மோவ்,positive
 2020 Fulla un thiruvizha tha dhaunsh Anna,positive
 Yan daa like podrathu easy nu unga ishtathukku ethuku likenu podringlaa ethellaam Oru polappu,neutral
 Mana thalvair epaime gethuda sema inda pongal,positive
